sequence_id,coeff_0,coeff_1,coeff_2,coeff_3,param_0,param_1,param_2,param_3,sequence_path
3836,0.2672,0.36,0.2445,0.1284,-1.0,0.7321,0.8682,8.4611,/home/users/gangus/data_06-19-19_processed/sequence_3836.npy
5592,0.125,0.1726,0.3326,0.3698,-1.0,0.3614,0.2214,3.512,/home/users/gangus/data_06-19-19_processed/sequence_5592.npy
11403,0.0845,0.5055,0.0174,0.3926,-1.0,0.8063,0.596,6.2338,/home/users/gangus/data_06-19-19_processed/sequence_11403.npy
12559,0.3201,0.3033,0.0766,0.2999,-1.0,0.7997,0.5183,3.1158,/home/users/gangus/data_06-19-19_processed/sequence_12559.npy
12806,0.3493,0.3575,0.0812,0.212,-1.0,0.6683,0.1269,6.6029,/home/users/gangus/data_06-19-19_processed/sequence_12806.npy
889,0.2094,0.4036,0.0269,0.3602,-1.0,0.1646,0.2188,6.1784,/home/users/gangus/data_06-19-19_processed/sequence_889.npy
8236,0.3839,0.2097,0.2383,0.1682,-1.0,0.6996,0.0233,9.3608,/home/users/gangus/data_06-19-19_processed/sequence_8236.npy
7438,0.3076,0.4276,0.078,0.1869,-1.0,0.3944,0.5446,8.7647,/home/users/gangus/data_06-19-19_processed/sequence_7438.npy
18694,0.2459,0.2246,0.4153,0.1142,-1.0,0.4603,0.4721,8.228,/home/users/gangus/data_06-19-19_processed/sequence_18694.npy
8080,0.3631,0.1423,0.1524,0.3421,-1.0,0.142,0.9248,3.9996,/home/users/gangus/data_06-19-19_processed/sequence_8080.npy
14566,0.3604,0.1845,0.4121,0.0431,-1.0,0.6239,0.4177,6.9769,/home/users/gangus/data_06-19-19_processed/sequence_14566.npy
15658,0.2287,0.3823,0.266,0.1229,-1.0,0.1166,0.9546,7.3948,/home/users/gangus/data_06-19-19_processed/sequence_15658.npy
2443,0.7357,0.1067,0.1451,0.0126,-1.0,0.5515,0.573,2.2941,/home/users/gangus/data_06-19-19_processed/sequence_2443.npy
4604,0.2115,0.1197,0.0719,0.5969,-1.0,0.8437,0.9036,9.2784,/home/users/gangus/data_06-19-19_processed/sequence_4604.npy
2041,0.3586,0.3211,0.278,0.0423,-1.0,0.5915,0.2765,9.1557,/home/users/gangus/data_06-19-19_processed/sequence_2041.npy
15829,0.1947,0.1224,0.5462,0.1366,-1.0,0.2516,0.6007,9.5332,/home/users/gangus/data_06-19-19_processed/sequence_15829.npy
19478,0.40299999999999997,0.2496,0.0658,0.2816,-1.0,0.3195,0.0297,2.1769,/home/users/gangus/data_06-19-19_processed/sequence_19478.npy
15367,0.3402,0.0346,0.3817,0.2436,-1.0,0.8131,0.9327,8.0876,/home/users/gangus/data_06-19-19_processed/sequence_15367.npy
3847,0.3875,0.054000000000000006,0.2869,0.2716,-1.0,0.5298,0.6115,6.2271,/home/users/gangus/data_06-19-19_processed/sequence_3847.npy
14754,0.2813,0.1894,0.3611,0.1682,-1.0,0.6071,0.5744,6.3546,/home/users/gangus/data_06-19-19_processed/sequence_14754.npy
9993,0.2224,0.2923,0.2282,0.2571,-1.0,0.5537,0.6889,1.0397,/home/users/gangus/data_06-19-19_processed/sequence_9993.npy
18972,0.2337,0.1258,0.3387,0.3018,-1.0,0.556,0.3333,5.7047,/home/users/gangus/data_06-19-19_processed/sequence_18972.npy
13813,0.3666,0.11199999999999999,0.1987,0.3228,-1.0,0.1063,0.7018,7.6193,/home/users/gangus/data_06-19-19_processed/sequence_13813.npy
18394,0.4228,0.4426,0.1215,0.0131,-1.0,0.4551,0.0916,6.1085,/home/users/gangus/data_06-19-19_processed/sequence_18394.npy
7589,0.3459,0.2183,0.2304,0.2054,-1.0,0.2132,0.4034,8.7943,/home/users/gangus/data_06-19-19_processed/sequence_7589.npy
12626,0.3034,0.2296,0.2299,0.2371,-1.0,0.8277,0.6774,3.2408,/home/users/gangus/data_06-19-19_processed/sequence_12626.npy
10514,0.21899999999999997,0.1409,0.4168,0.2233,-1.0,0.1685,0.9562,2.6407,/home/users/gangus/data_06-19-19_processed/sequence_10514.npy
3589,0.1356,0.2918,0.4033,0.1693,-1.0,0.115,0.1712,3.4185,/home/users/gangus/data_06-19-19_processed/sequence_3589.npy
19874,0.3948,0.1441,0.1379,0.3232,-1.0,0.4914,0.9056,4.0174,/home/users/gangus/data_06-19-19_processed/sequence_19874.npy
19113,0.4418,0.2216,0.3162,0.0205,-1.0,0.2621,0.3802,4.2178,/home/users/gangus/data_06-19-19_processed/sequence_19113.npy
14909,0.3094,0.1207,0.3027,0.2672,-1.0,0.677,0.7858,8.2394,/home/users/gangus/data_06-19-19_processed/sequence_14909.npy
8208,0.4059,0.2663,0.1976,0.1302,-1.0,0.4155,0.4482,4.1521,/home/users/gangus/data_06-19-19_processed/sequence_8208.npy
6346,0.2691,0.0785,0.1861,0.4663,-1.0,0.8315,0.8902,4.7764,/home/users/gangus/data_06-19-19_processed/sequence_6346.npy
11312,0.19699999999999998,0.4501,0.0141,0.3388,-1.0,0.6267,0.7168,3.5558,/home/users/gangus/data_06-19-19_processed/sequence_11312.npy
2265,0.0647,0.3092,0.2119,0.4141,-1.0,0.5133,0.1452,2.7266,/home/users/gangus/data_06-19-19_processed/sequence_2265.npy
255,0.10400000000000001,0.1525,0.3773,0.3662,-1.0,0.7978,0.3504,6.0816,/home/users/gangus/data_06-19-19_processed/sequence_255.npy
9209,0.1851,0.1559,0.3997,0.2593,-1.0,0.1534,0.9237,8.4083,/home/users/gangus/data_06-19-19_processed/sequence_9209.npy
8036,0.3422,0.2642,0.2814,0.1122,-1.0,0.39299999999999996,0.6213,5.1715,/home/users/gangus/data_06-19-19_processed/sequence_8036.npy
11935,0.2548,0.3177,0.3076,0.1199,-1.0,0.8428,0.1839,4.6105,/home/users/gangus/data_06-19-19_processed/sequence_11935.npy
17735,0.0379,0.3724,0.2918,0.2979,-1.0,0.3472,0.9439,1.797,/home/users/gangus/data_06-19-19_processed/sequence_17735.npy
1611,0.1581,0.2435,0.5369,0.0616,-1.0,0.4863,0.1239,3.8529,/home/users/gangus/data_06-19-19_processed/sequence_1611.npy
12870,0.2256,0.0225,0.3022,0.4498,-1.0,0.2825,0.31,5.9110000000000005,/home/users/gangus/data_06-19-19_processed/sequence_12870.npy
2677,0.121,0.3077,0.2856,0.2858,-1.0,0.5488,0.3887,3.4873,/home/users/gangus/data_06-19-19_processed/sequence_2677.npy
3328,0.20600000000000002,0.1573,0.3531,0.2836,-1.0,0.1741,0.4691,1.2341,/home/users/gangus/data_06-19-19_processed/sequence_3328.npy
16464,0.2311,0.2612,0.4193,0.0883,-1.0,0.3207,0.5751,9.3365,/home/users/gangus/data_06-19-19_processed/sequence_16464.npy
9738,0.2488,0.3061,0.2455,0.1996,-1.0,0.7394,0.9519,3.2975,/home/users/gangus/data_06-19-19_processed/sequence_9738.npy
18395,0.3496,0.2242,0.1141,0.3121,-1.0,0.6279,0.8633,5.6594,/home/users/gangus/data_06-19-19_processed/sequence_18395.npy
939,0.184,0.0236,0.5397,0.2527,-1.0,0.741,0.9833,2.898,/home/users/gangus/data_06-19-19_processed/sequence_939.npy
4180,0.3379,0.2552,0.1789,0.228,-1.0,0.6254,0.3358,4.1562,/home/users/gangus/data_06-19-19_processed/sequence_4180.npy
18747,0.317,0.07,0.28600000000000003,0.327,-1.0,0.4635,0.8593,5.9195,/home/users/gangus/data_06-19-19_processed/sequence_18747.npy
14650,0.1683,0.2927,0.4437,0.0953,-1.0,0.5258,0.9884,1.5491,/home/users/gangus/data_06-19-19_processed/sequence_14650.npy
9255,0.3044,0.1584,0.2829,0.2543,-1.0,0.1477,0.8423,8.0983,/home/users/gangus/data_06-19-19_processed/sequence_9255.npy
418,0.2187,0.1036,0.4379,0.2398,-1.0,0.6952,0.3949,7.146,/home/users/gangus/data_06-19-19_processed/sequence_418.npy
5614,0.4772,0.0849,0.2459,0.192,-1.0,0.6464,0.5033,6.4495,/home/users/gangus/data_06-19-19_processed/sequence_5614.npy
7086,0.1298,0.1303,0.4145,0.3255,-1.0,0.3914,0.4001,7.8226,/home/users/gangus/data_06-19-19_processed/sequence_7086.npy
11951,0.2036,0.147,0.2827,0.3668,-1.0,0.8285,0.3441,4.0938,/home/users/gangus/data_06-19-19_processed/sequence_11951.npy
13269,0.10800000000000001,0.0826,0.5112,0.2981,-1.0,0.2673,0.711,5.9465,/home/users/gangus/data_06-19-19_processed/sequence_13269.npy
1907,0.2054,0.142,0.2217,0.4309,-1.0,0.8243,0.7837,8.3142,/home/users/gangus/data_06-19-19_processed/sequence_1907.npy
9253,0.1914,0.2579,0.2403,0.3105,-1.0,0.5126,0.3647,8.3974,/home/users/gangus/data_06-19-19_processed/sequence_9253.npy
10445,0.0888,0.5581,0.3056,0.0475,-1.0,0.4205,0.3635,7.4684,/home/users/gangus/data_06-19-19_processed/sequence_10445.npy
11318,0.0872,0.1856,0.3593,0.3679,-1.0,0.863,0.3104,1.9012,/home/users/gangus/data_06-19-19_processed/sequence_11318.npy
12784,0.0549,0.387,0.49200000000000005,0.0661,-1.0,0.5361,0.9045,6.3870000000000005,/home/users/gangus/data_06-19-19_processed/sequence_12784.npy
17294,0.1318,0.5276,0.191,0.1496,-1.0,0.3929,0.8158,6.193,/home/users/gangus/data_06-19-19_processed/sequence_17294.npy
18457,0.0703,0.3105,0.594,0.0251,-1.0,0.8636,0.3921,7.9083,/home/users/gangus/data_06-19-19_processed/sequence_18457.npy
15139,0.3824,0.2716,0.0693,0.2767,-1.0,0.4139,0.9663,6.4418,/home/users/gangus/data_06-19-19_processed/sequence_15139.npy
18176,0.2082,0.2314,0.2602,0.3003,-1.0,0.3778,0.6625,2.6951,/home/users/gangus/data_06-19-19_processed/sequence_18176.npy
8381,0.2206,0.311,0.1931,0.2753,-1.0,0.8514,0.0287,5.9844,/home/users/gangus/data_06-19-19_processed/sequence_8381.npy
13368,0.2723,0.2407,0.2462,0.2407,-1.0,0.4646,0.9545,3.6544,/home/users/gangus/data_06-19-19_processed/sequence_13368.npy
17016,0.3257,0.1765,0.4173,0.0805,-1.0,0.2534,0.8752,5.7673,/home/users/gangus/data_06-19-19_processed/sequence_17016.npy
18763,0.2031,0.426,0.1988,0.1721,-1.0,0.561,0.322,2.1692,/home/users/gangus/data_06-19-19_processed/sequence_18763.npy
10685,0.1072,0.036000000000000004,0.40299999999999997,0.4538,-1.0,0.5556,0.85,7.5671,/home/users/gangus/data_06-19-19_processed/sequence_10685.npy
1655,0.3196,0.516,0.0767,0.0877,-1.0,0.2073,0.5013,2.0217,/home/users/gangus/data_06-19-19_processed/sequence_1655.npy
19156,0.4591,0.0092,0.3651,0.1666,-1.0,0.8257,0.9915,9.9568,/home/users/gangus/data_06-19-19_processed/sequence_19156.npy
7900,0.0984,0.3204,0.2563,0.3249,-1.0,0.6295,0.6475,9.6474,/home/users/gangus/data_06-19-19_processed/sequence_7900.npy
10001,0.2516,0.34299999999999997,0.1853,0.2201,-1.0,0.6681,0.2393,1.9597,/home/users/gangus/data_06-19-19_processed/sequence_10001.npy
6904,0.2969,0.5192,0.0689,0.1149,-1.0,0.5798,0.4373,3.5775,/home/users/gangus/data_06-19-19_processed/sequence_6904.npy
12864,0.4383,0.0562,0.3796,0.1259,-1.0,0.7347,0.705,7.2465,/home/users/gangus/data_06-19-19_processed/sequence_12864.npy
16005,0.2985,0.1445,0.3191,0.2378,-1.0,0.4583,0.4395,6.8189,/home/users/gangus/data_06-19-19_processed/sequence_16005.npy
16159,0.2241,0.2839,0.0197,0.4723,-1.0,0.8076,0.8618,9.7413,/home/users/gangus/data_06-19-19_processed/sequence_16159.npy
9622,0.3526,0.3731,0.0901,0.1842,-1.0,0.7141,0.2542,9.9661,/home/users/gangus/data_06-19-19_processed/sequence_9622.npy
13442,0.2174,0.0735,0.3479,0.3612,-1.0,0.8326,0.8316,5.8826,/home/users/gangus/data_06-19-19_processed/sequence_13442.npy
15792,0.0613,0.4169,0.336,0.1859,-1.0,0.4098,0.0922,3.7136,/home/users/gangus/data_06-19-19_processed/sequence_15792.npy
4607,0.4871,0.1,0.4061,0.0068,-1.0,0.4952,0.7008,7.2853,/home/users/gangus/data_06-19-19_processed/sequence_4607.npy
13561,0.095,0.1855,0.3482,0.3713,-1.0,0.8266,0.7542,9.7598,/home/users/gangus/data_06-19-19_processed/sequence_13561.npy
9287,0.0312,0.3288,0.3191,0.3209,-1.0,0.3687,0.8489,1.6514,/home/users/gangus/data_06-19-19_processed/sequence_9287.npy
2030,0.5874,0.2279,0.087,0.0977,-1.0,0.7853,0.6671,9.6324,/home/users/gangus/data_06-19-19_processed/sequence_2030.npy
13358,0.0177,0.5083,0.2166,0.2574,-1.0,0.3791,0.532,5.2299,/home/users/gangus/data_06-19-19_processed/sequence_13358.npy
16364,0.3598,0.1085,0.4073,0.1244,-1.0,0.3491,0.3033,4.0186,/home/users/gangus/data_06-19-19_processed/sequence_16364.npy
18846,0.2233,0.2448,0.3955,0.1364,-1.0,0.835,0.7825,3.4036,/home/users/gangus/data_06-19-19_processed/sequence_18846.npy
14459,0.2763,0.11900000000000001,0.2803,0.3244,-1.0,0.2439,0.6502,2.9267,/home/users/gangus/data_06-19-19_processed/sequence_14459.npy
12407,0.1057,0.3689,0.4404,0.085,-1.0,0.7388,0.0787,7.6083,/home/users/gangus/data_06-19-19_processed/sequence_12407.npy
8299,0.3094,0.081,0.3228,0.2869,-1.0,0.405,0.5002,3.3152,/home/users/gangus/data_06-19-19_processed/sequence_8299.npy
18012,0.0233,0.5821,0.0189,0.3756,-1.0,0.6005,0.5827,1.676,/home/users/gangus/data_06-19-19_processed/sequence_18012.npy
8475,0.3356,0.1186,0.1001,0.4457,-1.0,0.5761,0.9592,4.5919,/home/users/gangus/data_06-19-19_processed/sequence_8475.npy
9196,0.3944,0.5353,0.0658,0.0045,-1.0,0.3834,0.9762,5.6416,/home/users/gangus/data_06-19-19_processed/sequence_9196.npy
3302,0.4315,0.3806,0.1553,0.0326,-1.0,0.513,0.0325,9.5206,/home/users/gangus/data_06-19-19_processed/sequence_3302.npy
10183,0.1281,0.3386,0.4027,0.1306,-1.0,0.6897,0.9790000000000001,8.6073,/home/users/gangus/data_06-19-19_processed/sequence_10183.npy
1821,0.2926,0.285,0.3485,0.0739,-1.0,0.7484,0.9468,8.2381,/home/users/gangus/data_06-19-19_processed/sequence_1821.npy
67,0.2023,0.1739,0.4528,0.171,-1.0,0.3059,0.3299,6.0099,/home/users/gangus/data_06-19-19_processed/sequence_67.npy
18004,0.1127,0.0247,0.5746,0.28800000000000003,-1.0,0.8323,0.5931,7.2696,/home/users/gangus/data_06-19-19_processed/sequence_18004.npy
4468,0.2693,0.2212,0.2651,0.2445,-1.0,0.4365,0.3877,3.3826,/home/users/gangus/data_06-19-19_processed/sequence_4468.npy
10223,0.08199999999999999,0.4538,0.3613,0.1029,-1.0,0.5799,0.5923,7.0356,/home/users/gangus/data_06-19-19_processed/sequence_10223.npy
2614,0.3069,0.2971,0.0957,0.3003,-1.0,0.1599,0.0232,5.1064,/home/users/gangus/data_06-19-19_processed/sequence_2614.npy
345,0.1505,0.2581,0.3393,0.2521,-1.0,0.4462,0.4046,1.9809,/home/users/gangus/data_06-19-19_processed/sequence_345.npy
6849,0.2265,0.1555,0.0295,0.5885,-1.0,0.5678,0.3347,1.1773,/home/users/gangus/data_06-19-19_processed/sequence_6849.npy
13760,0.1462,0.5711,0.2098,0.0728,-1.0,0.3793,0.4691,4.5446,/home/users/gangus/data_06-19-19_processed/sequence_13760.npy
4768,0.3397,0.0386,0.4059,0.2158,-1.0,0.3762,0.5143,9.6531,/home/users/gangus/data_06-19-19_processed/sequence_4768.npy
561,0.1938,0.0899,0.195,0.5213,-1.0,0.4119,0.1231,8.7093,/home/users/gangus/data_06-19-19_processed/sequence_561.npy
10395,0.2875,0.2042,0.4549,0.0533,-1.0,0.5868,0.5102,9.4699,/home/users/gangus/data_06-19-19_processed/sequence_10395.npy
5726,0.0431,0.4195,0.449,0.0884,-1.0,0.5854,0.0986,4.1815,/home/users/gangus/data_06-19-19_processed/sequence_5726.npy
11010,0.0567,0.2583,0.4215,0.2635,-1.0,0.324,0.1608,7.2714,/home/users/gangus/data_06-19-19_processed/sequence_11010.npy
9226,0.2455,0.2288,0.3615,0.1642,-1.0,0.4029,0.1934,1.4394,/home/users/gangus/data_06-19-19_processed/sequence_9226.npy
10215,0.0482,0.5794,0.2412,0.1311,-1.0,0.6068,0.9135,8.8131,/home/users/gangus/data_06-19-19_processed/sequence_10215.npy
19503,0.5603,0.1577,0.2106,0.0715,-1.0,0.5517,0.3181,1.2487,/home/users/gangus/data_06-19-19_processed/sequence_19503.npy
440,0.2569,0.2667,0.2718,0.2046,-1.0,0.147,0.3923,3.4867,/home/users/gangus/data_06-19-19_processed/sequence_440.npy
14412,0.0311,0.2185,0.2471,0.5033,-1.0,0.5331,0.3614,2.1762,/home/users/gangus/data_06-19-19_processed/sequence_14412.npy
5243,0.273,0.3624,0.3133,0.0513,-1.0,0.8745,0.0926,7.6136,/home/users/gangus/data_06-19-19_processed/sequence_5243.npy
18658,0.3318,0.4401,0.0034,0.2248,-1.0,0.7902,0.6354,7.2271,/home/users/gangus/data_06-19-19_processed/sequence_18658.npy
11746,0.3759,0.1929,0.2587,0.1725,-1.0,0.151,0.0234,8.5432,/home/users/gangus/data_06-19-19_processed/sequence_11746.npy
6273,0.1562,0.0365,0.3979,0.4094,-1.0,0.2855,0.5622,6.101,/home/users/gangus/data_06-19-19_processed/sequence_6273.npy
17791,0.3698,0.0234,0.2525,0.3542,-1.0,0.8504,0.4244,9.0245,/home/users/gangus/data_06-19-19_processed/sequence_17791.npy
16664,0.1185,0.499,0.1773,0.2053,-1.0,0.4838,0.1371,5.3781,/home/users/gangus/data_06-19-19_processed/sequence_16664.npy
2976,0.3371,0.1837,0.3498,0.1294,-1.0,0.2949,0.9023,6.1202,/home/users/gangus/data_06-19-19_processed/sequence_2976.npy
2333,0.2151,0.3321,0.2203,0.2325,-1.0,0.4564,0.7433,3.7979,/home/users/gangus/data_06-19-19_processed/sequence_2333.npy
17946,0.2327,0.4068,0.3407,0.0198,-1.0,0.8934,0.0623,2.7439999999999998,/home/users/gangus/data_06-19-19_processed/sequence_17946.npy
10655,0.3747,0.1068,0.0092,0.5093,-1.0,0.2184,0.1512,6.9475,/home/users/gangus/data_06-19-19_processed/sequence_10655.npy
19218,0.4009,0.2751,0.0311,0.2929,-1.0,0.4638,0.5602,5.2908,/home/users/gangus/data_06-19-19_processed/sequence_19218.npy
18470,0.2875,0.3031,0.3121,0.0973,-1.0,0.5466,0.2729,6.6436,/home/users/gangus/data_06-19-19_processed/sequence_18470.npy
15765,0.3723,0.0139,0.3228,0.2909,-1.0,0.4536,0.4696,7.4796,/home/users/gangus/data_06-19-19_processed/sequence_15765.npy
19001,0.6169,0.0195,0.0746,0.289,-1.0,0.1531,0.8629,2.1844,/home/users/gangus/data_06-19-19_processed/sequence_19001.npy
4946,0.3232,0.0367,0.2371,0.40299999999999997,-1.0,0.48,0.0861,5.5768,/home/users/gangus/data_06-19-19_processed/sequence_4946.npy
709,0.0936,0.23600000000000002,0.1671,0.5032,-1.0,0.2881,0.6387,9.3195,/home/users/gangus/data_06-19-19_processed/sequence_709.npy
9194,0.0349,0.3874,0.3001,0.2777,-1.0,0.2852,0.9274,1.8641,/home/users/gangus/data_06-19-19_processed/sequence_9194.npy
10935,0.1252,0.2894,0.1966,0.3888,-1.0,0.1745,0.1856,5.4603,/home/users/gangus/data_06-19-19_processed/sequence_10935.npy
4695,0.3765,0.4242,0.0917,0.1076,-1.0,0.6582,0.9153,4.0145,/home/users/gangus/data_06-19-19_processed/sequence_4695.npy
13179,0.2598,0.1445,0.0845,0.5112,-1.0,0.841,0.5556,2.206,/home/users/gangus/data_06-19-19_processed/sequence_13179.npy
3978,0.0189,0.5446,0.3338,0.1027,-1.0,0.2917,0.9837,6.7632,/home/users/gangus/data_06-19-19_processed/sequence_3978.npy
9650,0.34,0.2846,0.3417,0.0336,-1.0,0.7253,0.2364,9.2969,/home/users/gangus/data_06-19-19_processed/sequence_9650.npy
9850,0.2582,0.4349,0.0278,0.2791,-1.0,0.8715,0.9025,8.1897,/home/users/gangus/data_06-19-19_processed/sequence_9850.npy
6445,0.2989,0.127,0.2546,0.3195,-1.0,0.8635,0.6717,9.8929,/home/users/gangus/data_06-19-19_processed/sequence_6445.npy
12458,0.4456,0.225,0.0503,0.2791,-1.0,0.3244,0.9196,1.6849,/home/users/gangus/data_06-19-19_processed/sequence_12458.npy
10603,0.2907,0.3136,0.0406,0.3551,-1.0,0.6624,0.1284,2.2972,/home/users/gangus/data_06-19-19_processed/sequence_10603.npy
10675,0.4973,0.113,0.23800000000000002,0.1517,-1.0,0.121,0.585,9.7704,/home/users/gangus/data_06-19-19_processed/sequence_10675.npy
12807,0.3024,0.0827,0.5817,0.0333,-1.0,0.2307,0.9163,5.3276,/home/users/gangus/data_06-19-19_processed/sequence_12807.npy
17190,0.0163,0.2893,0.0926,0.6018,-1.0,0.2676,0.0971,6.647,/home/users/gangus/data_06-19-19_processed/sequence_17190.npy
10332,0.0288,0.5583,0.0987,0.3143,-1.0,0.7592,0.9344,9.0479,/home/users/gangus/data_06-19-19_processed/sequence_10332.npy
15398,0.1718,0.0902,0.4718,0.2661,-1.0,0.4495,0.2103,1.7409,/home/users/gangus/data_06-19-19_processed/sequence_15398.npy
15537,0.3808,0.2702,0.0346,0.3144,-1.0,0.8872,0.2179,6.1678,/home/users/gangus/data_06-19-19_processed/sequence_15537.npy
4807,0.4001,0.0876,0.2863,0.2259,-1.0,0.4291,0.0499,3.1354,/home/users/gangus/data_06-19-19_processed/sequence_4807.npy
13335,0.1955,0.3878,0.3204,0.0963,-1.0,0.239,0.1783,3.3661,/home/users/gangus/data_06-19-19_processed/sequence_13335.npy
4832,0.1465,0.3618,0.1757,0.3159,-1.0,0.1972,0.4746,4.7437,/home/users/gangus/data_06-19-19_processed/sequence_4832.npy
9119,0.3898,0.3394,0.2355,0.0354,-1.0,0.8764,0.7905,3.975,/home/users/gangus/data_06-19-19_processed/sequence_9119.npy
18986,0.3844,0.2864,0.2308,0.0984,-1.0,0.7519,0.59,1.3874,/home/users/gangus/data_06-19-19_processed/sequence_18986.npy
64,0.3485,0.2252,0.3941,0.0322,-1.0,0.8339,0.4487,2.4639,/home/users/gangus/data_06-19-19_processed/sequence_64.npy
17189,0.2245,0.3191,0.1897,0.2667,-1.0,0.2678,0.3802,9.6784,/home/users/gangus/data_06-19-19_processed/sequence_17189.npy
2437,0.0307,0.3161,0.0893,0.5638,-1.0,0.7608,0.2019,5.0801,/home/users/gangus/data_06-19-19_processed/sequence_2437.npy
8917,0.2183,0.294,0.373,0.1146,-1.0,0.5711,0.3742,5.6042,/home/users/gangus/data_06-19-19_processed/sequence_8917.npy
11300,0.2913,0.2677,0.2348,0.2062,-1.0,0.6242,0.379,8.5742,/home/users/gangus/data_06-19-19_processed/sequence_11300.npy
11000,0.1474,0.1612,0.28,0.4113,-1.0,0.8822,0.5547,9.8596,/home/users/gangus/data_06-19-19_processed/sequence_11000.npy
4142,0.1455,0.3616,0.0333,0.4595,-1.0,0.3594,0.4014,4.0987,/home/users/gangus/data_06-19-19_processed/sequence_4142.npy
7663,0.3299,0.2418,0.2818,0.1465,-1.0,0.5124,0.3066,7.6805,/home/users/gangus/data_06-19-19_processed/sequence_7663.npy
17898,0.0952,0.2436,0.3432,0.318,-1.0,0.6157,0.8535,8.6114,/home/users/gangus/data_06-19-19_processed/sequence_17898.npy
1273,0.3301,0.1628,0.1305,0.3766,-1.0,0.845,0.1159,1.6876,/home/users/gangus/data_06-19-19_processed/sequence_1273.npy
